,zeilen,zeichen
1683,"
",1
1684," 
",2
1685,"
",1
1686,"(1) Die Eisenbahnverkehrsverwaltung für Eisenbahnen des Bundes wird in bundeseigener Verwaltung geführt.
",105
1687,"Durch Bundesgesetz können Aufgaben der Eisenbahnverkehrsverwaltung den Ländern als eigene Angelegenheit
",104
1688,"übertragen werden.
",19
1689,"(2) Der Bund nimmt die über den Bereich der Eisenbahnen des Bundes hinausgehenden Aufgaben der
",95
1690,"Eisenbahnverkehrsverwaltung wahr, die ihm durch Bundesgesetz übertragen werden.
",80
1691,"(3) Eisenbahnen des Bundes werden als Wirtschaftsunternehmen in privat-rechtlicher Form geführt. Diese stehen
",110
1692,"im Eigentum des Bundes, soweit die Tätigkeit des Wirtschaftsunternehmens den Bau, die Unterhaltung und das
",107
1693,"Betreiben von Schienenwegen umfaßt. Die Veräußerung von Anteilen des Bundes an den Unternehmen nach
",100
1694,"Satz 2 erfolgt auf Grund eines Gesetzes; die Mehrheit der Anteile an diesen Unternehmen verbleibt beim Bund.
",109
1695,"Das Nähere wird durch Bundesgesetz geregelt.
",45
1696,"(4) Der Bund gewährleistet, daß dem Wohl der Allgemeinheit, insbesondere den Verkehrsbedürfnissen, beim
",104
1697,"Ausbau und Erhalt des Schienennetzes der Eisenbahnen des Bundes sowie bei deren Verkehrsangeboten auf
",102
1698,"diesem Schienennetz, soweit diese nicht den Schienenpersonennahverkehr betreffen, Rechnung getragen wird.
",106
1699,"Das Nähere wird durch Bundesgesetz geregelt.
",45
1700,"(5) Gesetze auf Grund der Absätze 1 bis 4 bedürfen der Zustimmung des Bundesrates. Der Zustimmung
",98
1701,"des Bundesrates bedürfen ferner Gesetze, die die Auflösung, die Verschmelzung und die Aufspaltung von
",102
1702,"Eisenbahnunternehmen des Bundes, die Übertragung von Schienenwegen der Eisenbahnen des Bundes an
",97
1703,"Dritte sowie die Stillegung von Schienenwegen der Eisenbahnen des Bundes regeln oder Auswirkungen auf den
",106
1704,"Schienenpersonennahverkehr haben.
",34
1705,"Art 87f 
",9
1706,"
",1
1707," 
",2
1708,"
",1
1709,"(1) Nach Maßgabe eines Bundesgesetzes, das der Zustimmung des Bundesrates bedarf, gewährleistet der
",100
1710,"Bund im Bereich des Postwesens und der Telekommunikation flächendeckend angemessene und ausreichende
",101
1711,"Dienstleistungen.
",18
1712,"(2) Dienstleistungen im Sinne des Absatzes 1 werden als privatwirtschaftliche Tätigkeiten durch die aus dem
",108
1713,"Sondervermögen Deutsche Bundespost hervorgegangenen Unternehmen und durch andere private Anbieter
",98
1714,"erbracht. Hoheitsaufgaben im Bereich des Postwesens und der Telekommunikation werden in bundeseigener
",102
1715,"Verwaltung ausgeführt.
",23
1716,"(3) Unbeschadet des Absatzes 2 Satz 2 führt der Bund in der Rechtsform einer bundesunmittelbaren Anstalt
",105
1717,"des öffentlichen Rechts einzelne Aufgaben in bezug auf die aus dem Sondervermögen Deutsche Bundespost
",102
1718,"hervorgegangenen Unternehmen nach Maßgabe eines Bundesgesetzes aus.
",68
1719,"Art 88 
",8
1720,"
",1
1721," 
",2
1722,"
",1
1723,"Der Bund errichtet eine Währungs- und Notenbank als Bundesbank. Ihre Aufgaben und Befugnisse können im
",103
1724,"Rahmen der Europäischen Union der Europäischen Zentralbank übertragen werden, die unabhängig ist und dem
",105
1725,"vorrangigen Ziel der Sicherung der Preisstabilität verpflichtet.
",65
1726,"Art 89 
",8
1727,"
",1
1728," 
",2
1729,"
",1
1730,"(1) Der Bund ist Eigentümer der bisherigen Reichswasserstraßen.
",64
1731,"(2) Der Bund verwaltet die Bundeswasserstraßen durch eigene Behörden. Er nimmt die über den Bereich eines
",106
1732,"Landes hinausgehenden staatlichen Aufgaben der Binnenschiffahrt und die Aufgaben der Seeschiffahrt wahr, die
",109
1733,"ihm durch Gesetz übertragen werden. Er kann die Verwaltung von Bundeswasserstraßen, soweit sie im Gebiete
",106
1734,"eines Landes liegen, diesem Lande auf Antrag als Auftragsverwaltung übertragen. Berührt eine Wasserstraße das
",110
1735,"Gebiet mehrerer Länder, so kann der Bund das Land beauftragen, für das die beteiligten Länder es beantragen.
",109
1736,"(3) Bei der Verwaltung, dem Ausbau und dem Neubau von Wasserstraßen sind die Bedürfnisse der Landeskultur
",106
1737,"und der Wasserwirtschaft im Einvernehmen mit den Ländern zu wahren.
",68
1738,"
",1
1739,"- Seite 25 von 50 -
",20
1740,"
",1
1741,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
1742,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
1743,"
",1
1744,"Art 90 
",8
1745,"
",1
1746," 
",2
1747,"
",1
1748,"(1) Der Bund bleibt Eigentümer der Bundesautobahnen und sonstigen Bundesstraßen des Fernverkehrs. Das
",102
1749,"Eigentum ist unveräußerlich.
",29
1750,"(2) Die Verwaltung der Bundesautobahnen wird in Bundesverwaltung geführt. Der Bund kann sich zur Erledigung
",108
1751,"seiner Aufgaben einer Gesellschaft privaten Rechts bedienen. Diese Gesellschaft steht im unveräußerlichen
",106
1752,"Eigentum des Bundes. Eine unmittelbare oder mittelbare Beteiligung Dritter an der Gesellschaft und deren
",105
1753,"Tochtergesellschaften ist ausgeschlossen. Eine Beteiligung Privater im Rahmen von Öffentlich-Privaten
",102
1754,"Partnerschaften ist ausgeschlossen für Streckennetze, die das gesamte Bundesautobahnnetz oder das gesamte
",106
1755,"Netz sonstiger Bundesfernstraßen in einem Land oder wesentliche Teile davon umfassen. Das Nähere regelt ein
",108
1756,"Bundesgesetz.
",14
1757,"(3) Die Länder oder die nach Landesrecht zuständigen Selbstverwaltungskörperschaften verwalten die sonstigen
",109
1758,"Bundesstraßen des Fernverkehrs im Auftrage des Bundes.
",55
1759,"(4) Auf Antrag eines Landes kann der Bund die sonstigen Bundesstraßen des Fernverkehrs, soweit sie im Gebiet
",109
1760,"dieses Landes liegen, in Bundesverwaltung übernehmen.
",54
1761,"Art 91 
",8
1762,"
",1
1763," 
",2
1764,"
",1
1765,"(1) Zur Abwehr einer drohenden Gefahr für den Bestand oder die freiheitliche demokratische Grundordnung des
",108
1766,"Bundes oder eines Landes kann ein Land Polizeikräfte anderer Länder sowie Kräfte und Einrichtungen anderer
",107
1767,"Verwaltungen und des Bundesgrenzschutzes anfordern.
",52
1768,"(2) Ist das Land, in dem die Gefahr droht, nicht selbst zur Bekämpfung der Gefahr bereit oder in der Lage, so
",110
1769,"kann die Bundesregierung die Polizei in diesem Lande und die Polizeikräfte anderer Länder ihren Weisungen
",106
1770,"unterstellen sowie Einheiten des Bundesgrenzschutzes einsetzen. Die Anordnung ist nach Beseitigung der
",103
1771,"Gefahr, im übrigen jederzeit auf Verlangen des Bundesrates aufzuheben. Erstreckt sich die Gefahr auf das Gebiet
",112
1772,"mehr als eines Landes, so kann die Bundesregierung, soweit es zur wirksamen Bekämpfung erforderlich ist, den
",109
1773,"Landesregierungen Weisungen erteilen; Satz 1 und Satz 2 bleiben unberührt.
",75
1774,"
",1
1775,"VIIIa.
",7
1776,"Gemeinschaftsaufgaben, Verwaltungszusammenarbeit
",49
1777,"Art 91a 
",9
1778,"
",1
1779," 
",2
1780,"
",1
1781,"(1) Der Bund wirkt auf folgenden Gebieten bei der Erfüllung von Aufgaben der Länder mit, wenn diese Aufgaben
",109
1782,"für die Gesamtheit bedeutsam sind und die Mitwirkung des Bundes zur Verbesserung der Lebensverhältnisse
",104
1783,"erforderlich ist (Gemeinschaftsaufgaben):
",42
1784,"1.   Verbesserung der regionalen Wirtschaftsstruktur,
",54
1785,"2.   Verbesserung der Agrarstruktur und des Küstenschutzes.
",60
1786," 
",2
1787,"
",1
1788," 
",2
1789,"
",1
1790,"(2) Durch Bundesgesetz mit Zustimmung des Bundesrates werden die Gemeinschaftsaufgaben sowie
",93
1791,"Einzelheiten der Koordinierung näher bestimmt.
",47
1792,"(3) Der Bund trägt in den Fällen des Absatzes 1 Nr. 1 die Hälfte der Ausgaben in jedem Land. In den Fällen des
",111
1793,"Absatzes 1 Nr. 2 trägt der Bund mindestens die Hälfte; die Beteiligung ist für alle Länder einheitlich festzusetzen.
",117
1794,"Das Nähere regelt das Gesetz. Die Bereitstellung der Mittel bleibt der Feststellung in den Haushaltsplänen des
",111
1795,"Bundes und der Länder vorbehalten.
",35
1796,"Art 91b 
",9
1797,"
",1
1798," 
",2
1799,"
",1
1800,"(1) Bund und Länder können auf Grund von Vereinbarungen in Fällen überregionaler Bedeutung bei der
",99
1801,"Förderung von Wissenschaft, Forschung und Lehre zusammenwirken. Vereinbarungen, die im Schwerpunkt
",99
1802,"Hochschulen betreffen, bedürfen der Zustimmung aller Länder. Dies gilt nicht für Vereinbarungen über
",101
1803,"Forschungsbauten einschließlich Großgeräten.
",45
1804,"(2) Bund und Länder können auf Grund von Vereinbarungen zur Feststellung der Leistungsfähigkeit des
",100
1805,"Bildungswesens im internationalen Vergleich und bei diesbezüglichen Berichten und Empfehlungen
",95
1806,"zusammenwirken.
",16
1807,"- Seite 26 von 50 -
",20
1808,"
",1
1809,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
1810,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
1811,"
",1
1812,"(3) Die Kostentragung wird in der Vereinbarung geregelt.
",57
1813,"Art 91c 
",9
1814,"
",1
1815," 
",2
1816,"
",1
1817,"(1) Bund und Länder können bei der Planung, der Errichtung und dem Betrieb der für ihre Aufgabenerfüllung
",106
1818,"benötigten informationstechnischen Systeme zusammenwirken.
",59
1819,"(2) Bund und Länder können auf Grund von Vereinbarungen die für die Kommunikation zwischen ihren
",97
1820,"informationstechnischen Systemen notwendigen Standards und Sicherheitsanforderungen festlegen.
",95
1821,"Vereinbarungen über die Grundlagen der Zusammenarbeit nach Satz 1 können für einzelne nach Inhalt und
",102
1822,"Ausmaß bestimmte Aufgaben vorsehen, dass nähere Regelungen bei Zustimmung einer in der Vereinbarung zu
",103
1823,"bestimmenden qualifizierten Mehrheit für Bund und Länder in Kraft treten. Sie bedürfen der Zustimmung des
",106
1824,"Bundestages und der Volksvertretungen der beteiligten Länder; das Recht zur Kündigung dieser Vereinbarungen
",108
1825,"kann nicht ausgeschlossen werden. Die Vereinbarungen regeln auch die Kostentragung.
",84
1826,"(3) Die Länder können darüber hinaus den gemeinschaftlichen Betrieb informationstechnischer Systeme sowie
",106
1827,"die Errichtung von dazu bestimmten Einrichtungen vereinbaren.
",62
1828,"(4) Der Bund errichtet zur Verbindung der informationstechnischen Netze des Bundes und der Länder ein
",102
1829,"Verbindungsnetz. Das Nähere zur Errichtung und zum Betrieb des Verbindungsnetzes regelt ein Bundesgesetz
",105
1830,"mit Zustimmung des Bundesrates.
",32
1831,"(5) Der übergreifende informationstechnische Zugang zu den Verwaltungsleistungen von Bund und Ländern wird
",107
1832,"durch Bundesgesetz mit Zustimmung des Bundesrates geregelt.
",60
1833,"Art 91d 
",9
1834,"
",1
1835," 
",2
1836,"
",1
1837,"Bund und Länder können zur Feststellung und Förderung der Leistungsfähigkeit ihrer Verwaltungen
",96
1838,"Vergleichsstudien durchführen und die Ergebnisse veröffentlichen.
",66
1839,"Art 91e 
",9
1840,"
",1
1841," 
",2
1842,"
",1
1843,"(1) Bei der Ausführung von Bundesgesetzen auf dem Gebiet der Grundsicherung für Arbeitsuchende wirken
",102
1844,"Bund und Länder oder die nach Landesrecht zuständigen Gemeinden und Gemeindeverbände in der Regel in
",101
1845,"gemeinsamen Einrichtungen zusammen.
",36
1846,"(2) Der Bund kann zulassen, dass eine begrenzte Anzahl von Gemeinden und Gemeindeverbänden auf ihren
",101
1847,"Antrag und mit Zustimmung der obersten Landesbehörde die Aufgaben nach Absatz 1 allein wahrnimmt. Die
",102
1848,"notwendigen Ausgaben einschließlich der Verwaltungsausgaben trägt der Bund, soweit die Aufgaben bei einer
",106
1849,"Ausführung von Gesetzen nach Absatz 1 vom Bund wahrzunehmen sind.
",66
1850,"(3) Das Nähere regelt ein Bundesgesetz, das der Zustimmung des Bundesrates bedarf.
",83
1851,"
",1
1852,"IX.
",4
1853,"Die Rechtsprechung
",19
1854,"Art 92 
",8
1855,"
",1
1856," 
",2
1857,"
",1
1858,"Die rechtsprechende Gewalt ist den Richtern anvertraut; sie wird durch das Bundesverfassungsgericht, durch die
",111
1859,"in diesem Grundgesetze vorgesehenen Bundesgerichte und durch die Gerichte der Länder ausgeübt.
",95
1860,"Art 93 
",8
1861,"
",1
1862," 
",2
1863,"
",1
1864,"(1) Das Bundesverfassungsgericht entscheidet:
",46
1865,"1.  
",5
1866,"
",1
1867,"2.  
",5
1868,"
",1
1869,"über die Auslegung dieses Grundgesetzes aus Anlaß von Streitigkeiten über den Umfang der Rechte und
",100
1870,"Pflichten eines obersten Bundesorgans oder anderer Beteiligter, die durch dieses Grundgesetz oder in der
",105
1871,"Geschäftsordnung eines obersten Bundesorgans mit eigenen Rechten ausgestattet sind;
",84
1872,"bei Meinungsverschiedenheiten oder Zweifeln über die förmliche und sachliche Vereinbarkeit von
",95
1873,"Bundesrecht oder Landesrecht mit diesem Grundgesetze oder die Vereinbarkeit von Landesrecht mit
",96
1874,"sonstigem Bundesrechte auf Antrag der Bundesregierung, einer Landesregierung oder eines Viertels der
",101
1875,"Mitglieder des Bundestages;
",28
1876," 
",2
1877,"
",1
1878," 
",2
1879,"
",1
1880,"- Seite 27 von 50 -
",20
1881,"
",1
1882,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
1883,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
1884,"
",1
1885,"2a.   bei Meinungsverschiedenheiten, ob ein Gesetz den Voraussetzungen des Artikels 72 Abs. 2 entspricht, auf
",110
1886,"Antrag des Bundesrates, einer Landesregierung oder der Volksvertretung eines Landes;
",85
1887,"3.  
",5
1888,"4.  
",5
1889,"
",1
1890,"bei Meinungsverschiedenheiten über Rechte und Pflichten des Bundes und der Länder, insbesondere bei
",100
1891,"der Ausführung von Bundesrecht durch die Länder und bei der Ausübung der Bundesaufsicht;
",89
1892," 
",2
1893,"
",1
1894,"in anderen öffentlich-rechtlichen Streitigkeiten zwischen dem Bunde und den Ländern, zwischen
",94
1895,"verschiedenen Ländern oder innerhalb eines Landes, soweit nicht ein anderer Rechtsweg gegeben ist;
",99
1896," 
",2
1897,"
",1
1898,"4a.   über Verfassungsbeschwerden, die von jedermann mit der Behauptung erhoben werden können, durch
",101
1899,"die öffentliche Gewalt in einem seiner Grundrechte oder in einem seiner in Artikel 20 Abs. 4, 33, 38, 101,
",107
1900,"103 und 104 enthaltenen Rechte verletzt zu sein;
",49
1901," 
",2
1902,"
",1
1903,"4b.   über Verfassungsbeschwerden von Gemeinden und Gemeindeverbänden wegen Verletzung des Rechts
",98
1904,"auf Selbstverwaltung nach Artikel 28 durch ein Gesetz, bei Landesgesetzen jedoch nur, soweit nicht
",99
1905,"Beschwerde beim Landesverfassungsgericht erhoben werden kann;
",62
1906," 
",2
1907,"
",1
1908,"4c.   über Beschwerden von Vereinigungen gegen ihre Nichtanerkennung als Partei für die Wahl zum
",97
1909,"Bundestag;
",11
1910," 
",2
1911,"
",1
1912,"5.  
",5
1913,"
",1
1914,"in den übrigen in diesem Grundgesetze vorgesehenen Fällen.
",59
1915," 
",2
1916,"
",1
1917," 
",2
1918,"
",1
1919,"(2) Das Bundesverfassungsgericht entscheidet außerdem auf Antrag des Bundesrates, einer Landesregierung
",104
1920,"oder der Volksvertretung eines Landes, ob im Falle des Artikels 72 Abs. 4 die Erforderlichkeit für eine
",104
1921,"bundesgesetzliche Regelung nach Artikel 72 Abs. 2 nicht mehr besteht oder Bundesrecht in den Fällen des
",104
1922,"Artikels 125a Abs. 2 Satz 1 nicht mehr erlassen werden könnte. Die Feststellung, dass die Erforderlichkeit
",107
1923,"entfallen ist oder Bundesrecht nicht mehr erlassen werden könnte, ersetzt ein Bundesgesetz nach Artikel 72
",107
1924,"Abs. 4 oder nach Artikel 125a Abs. 2 Satz 2. Der Antrag nach Satz 1 ist nur zulässig, wenn eine Gesetzesvorlage
",112
1925,"nach Artikel 72 Abs. 4 oder nach Artikel 125a Abs. 2 Satz 2 im Bundestag abgelehnt oder über sie nicht innerhalb
",113
1926,"eines Jahres beraten und Beschluss gefasst oder wenn eine entsprechende Gesetzesvorlage im Bundesrat
",101
1927,"abgelehnt worden ist.
",22
1928,"(3) Das Bundesverfassungsgericht wird ferner in den ihm sonst durch Bundesgesetz zugewiesenen Fällen tätig.
",108
1929,"Art 94 
",8
1930,"
",1
1931," 
",2
1932,"
",1
1933,"(1) Das Bundesverfassungsgericht besteht aus Bundesrichtern und anderen Mitgliedern. Die Mitglieder des
",104
1934,"Bundesverfassungsgerichtes werden je zur Hälfte vom Bundestage und vom Bundesrate gewählt. Sie dürfen
",102
1935,"weder dem Bundestage, dem Bundesrate, der Bundesregierung noch entsprechenden Organen eines Landes
",99
1936,"angehören.
",11
1937,"(2) Ein Bundesgesetz regelt seine Verfassung und das Verfahren und bestimmt, in welchen Fällen seine
",101
1938,"Entscheidungen Gesetzeskraft haben. Es kann für Verfassungsbeschwerden die vorherige Erschöpfung des
",101
1939,"Rechtsweges zur Voraussetzung machen und ein besonderes Annahmeverfahren vorsehen.
",83
1940,"Art 95 
",8
1941,"
",1
1942," 
",2
1943,"
",1
1944,"(1) Für die Gebiete der ordentlichen, der Verwaltungs-, der Finanz-, der Arbeits- und der Sozialgerichtsbarkeit
",112
1945,"errichtet der Bund als oberste Gerichtshöfe den Bundesgerichtshof, das Bundesverwaltungsgericht, den
",101
1946,"Bundesfinanzhof, das Bundesarbeitsgericht und das Bundessozialgericht.
",71
1947,"(2) Über die Berufung der Richter dieser Gerichte entscheidet der für das jeweilige Sachgebiet zuständige
",106
1948,"Bundesminister gemeinsam mit einem Richterwahlausschuß, der aus den für das jeweilige Sachgebiet
",97
1949,"zuständigen Ministern der Länder und einer gleichen Anzahl von Mitgliedern besteht, die vom Bundestage
",103
1950,"gewählt werden.
",16
1951,"(3) Zur Wahrung der Einheitlichkeit der Rechtsprechung ist ein Gemeinsamer Senat der in Absatz 1 genannten
",107
1952,"Gerichte zu bilden. Das Nähere regelt ein Bundesgesetz.
",56
1953,"Art 96 
",8
1954,"
",1
1955," 
",2
1956,"
",1
1957,"(1) Der Bund kann für Angelegenheiten des gewerblichen Rechtsschutzes ein Bundesgericht errichten.
",99
1958,"(2) Der Bund kann Wehrstrafgerichte für die Streitkräfte als Bundesgerichte errichten. Sie können die
",102
1959,"Strafgerichtsbarkeit nur im Verteidigungsfalle sowie über Angehörige der Streitkräfte ausüben, die in das Ausland
",114
1960,"entsandt oder an Bord von Kriegsschiffen eingeschifft sind. Das Nähere regelt ein Bundesgesetz. Diese Gerichte
",111
1961,"- Seite 28 von 50 -
",20
1962,"
",1
1963,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
1964,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
1965,"
",1
1966,"gehören zum Geschäftsbereich des Bundesjustizministers. Ihre hauptamtlichen Richter müssen die Befähigung
",106
1967,"zum Richteramt haben.
",22
1968,"(3) Oberster Gerichtshof für die in Absatz 1 und 2 genannten Gerichte ist der Bundesgerichtshof.
",97
1969,"(4) Der Bund kann für Personen, die zu ihm in einem öffentlich-rechtlichen Dienstverhältnis stehen,
",100
1970,"Bundesgerichte zur Entscheidung in Disziplinarverfahren und Beschwerdeverfahren errichten.
",91
1971,"(5) Für Strafverfahren auf den folgenden Gebieten kann ein Bundesgesetz mit Zustimmung des Bundesrates
",103
1972,"vorsehen, dass Gerichte der Länder Gerichtsbarkeit des Bundes ausüben:
",71
1973,"1.   Völkermord;
",17
1974,"2.   völkerstrafrechtliche Verbrechen gegen die Menschlichkeit;
",64
1975," 
",2
1976,"
",1
1977,"3.   Kriegsverbrechen;
",23
1978," 
",2
1979,"
",1
1980,"4.   andere Handlungen, die geeignet sind und in der Absicht vorgenommen werden, das friedliche
",96
1981,"Zusammenleben der Völker zu stören (Artikel 26 Abs. 1);
",56
1982," 
",2
1983,"
",1
1984,"5.   Staatsschutz.
",19
1985," 
",2
1986,"
",1
1987," 
",2
1988,"
",1
1989,"Art 97 
",8
1990,"
",1
1991," 
",2
1992,"
",1
1993,"(1) Die Richter sind unabhängig und nur dem Gesetze unterworfen.
",65
1994,"(2) Die hauptamtlich und planmäßig endgültig angestellten Richter können wider ihren Willen nur kraft
",102
1995,"richterlicher Entscheidung und nur aus Gründen und unter den Formen, welche die Gesetze bestimmen, vor
",103
1996,"Ablauf ihrer Amtszeit entlassen oder dauernd oder zeitweise ihres Amtes enthoben oder an eine andere Stelle
",108
1997,"oder in den Ruhestand versetzt werden. Die Gesetzgebung kann Altersgrenzen festsetzen, bei deren Erreichung
",108
1998,"auf Lebenszeit angestellte Richter in den Ruhestand treten. Bei Veränderung der Einrichtung der Gerichte oder
",110
1999,"ihrer Bezirke können Richter an ein anderes Gericht versetzt oder aus dem Amte entfernt werden, jedoch nur
",107
2000,"unter Belassung des vollen Gehaltes.
",37
2001,"Art 98 
",8
2002,"
",1
2003," 
",2
2004,"
",1
2005,"(1) Die Rechtsstellung der Bundesrichter ist durch besonderes Bundesgesetz zu regeln.
",86
2006,"(2) Wenn ein Bundesrichter im Amte oder außerhalb des Amtes gegen die Grundsätze des Grundgesetzes oder
",104
2007,"gegen die verfassungsmäßige Ordnung eines Landes verstößt, so kann das Bundesverfassungsgericht mit
",100
2008,"Zweidrittelmehrheit auf Antrag des Bundestages anordnen, daß der Richter in ein anderes Amt oder in den
",104
2009,"Ruhestand zu versetzen ist. Im Falle eines vorsätzlichen Verstoßes kann auf Entlassung erkannt werden.
",103
2010,"(3) Die Rechtsstellung der Richter in den Ländern ist durch besondere Landesgesetze zu regeln, soweit Artikel 74
",113
2011,"Abs. 1 Nr. 27 nichts anderes bestimmt.
",39
2012,"(4) Die Länder können bestimmen, daß über die Anstellung der Richter in den Ländern der Landesjustizminister
",109
2013,"gemeinsam mit einem Richterwahlausschuß entscheidet.
",53
2014,"(5) Die Länder können für Landesrichter eine Absatz 2 entsprechende Regelung treffen. Geltendes
",96
2015,"Landesverfassungsrecht bleibt unberührt. Die Entscheidung über eine Richteranklage steht dem
",93
2016,"Bundesverfassungsgericht zu.
",29
2017,"Art 99 
",8
2018,"
",1
2019," 
",2
2020,"
",1
2021,"Dem Bundesverfassungsgerichte kann durch Landesgesetz die Entscheidung von Verfassungsstreitigkeiten
",101
2022,"innerhalb eines Landes, den in Artikel 95 Abs. 1 genannten obersten Gerichtshöfen für den letzten Rechtszug
",108
2023,"die Entscheidung in solchen Sachen zugewiesen werden, bei denen es sich um die Anwendung von Landesrecht
",105
2024,"handelt.
",9
2025,"Art 100 
",9
2026,"
",1
2027," 
",2
2028,"
",1
2029,"(1) Hält ein Gericht ein Gesetz, auf dessen Gültigkeit es bei der Entscheidung ankommt, für verfassungswidrig,
",111
2030,"so ist das Verfahren auszusetzen und, wenn es sich um die Verletzung der Verfassung eines Landes handelt,
",106
2031,"die Entscheidung des für Verfassungsstreitigkeiten zuständigen Gerichtes des Landes, wenn es sich um die
",105
2032,"Verletzung dieses Grundgesetzes handelt, die Entscheidung des Bundesverfassungsgerichtes einzuholen. Dies
",106
2033,"- Seite 29 von 50 -
",20
2034,"
",1
2035,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
2036,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
2037,"
",1
2038,"gilt auch, wenn es sich um die Verletzung dieses Grundgesetzes durch Landesrecht oder um die Unvereinbarkeit
",109
2039,"eines Landesgesetzes mit einem Bundesgesetze handelt.
",54
2040,"(2) Ist in einem Rechtsstreite zweifelhaft, ob eine Regel des Völkerrechtes Bestandteil des Bundesrechtes
",106
2041,"ist und ob sie unmittelbar Rechte und Pflichten für den Einzelnen erzeugt (Artikel 25), so hat das Gericht die
",111
2042,"Entscheidung des Bundesverfassungsgerichtes einzuholen.
",56
2043,"(3) Will das Verfassungsgericht eines Landes bei der Auslegung des Grundgesetzes von einer Entscheidung
",104
2044,"des Bundesverfassungsgerichtes oder des Verfassungsgerichtes eines anderen Landes abweichen, so hat das
",104
2045,"Verfassungsgericht die Entscheidung des Bundesverfassungsgerichtes einzuholen.
",79
2046,"Fußnote
",8
2047,"Art. 100 Abs. 2: vgl. BVerfGE v. 6.12.2006; 2007 I 33 - 2 BvM 9/03
",67
2048,"Art 101 
",9
2049,"
",1
2050," 
",2
2051,"
",1
2052,"(1) Ausnahmegerichte sind unzulässig. Niemand darf seinem gesetzlichen Richter entzogen werden.
",96
2053,"(2) Gerichte für besondere Sachgebiete können nur durch Gesetz errichtet werden.
",81
2054,"Art 102 
",9
2055,"
",1
2056," 
",2
2057,"
",1
2058,"Die Todesstrafe ist abgeschafft.
",33
2059,"Art 103 
",9
2060,"
",1
2061," 
",2
2062,"
",1
2063,"(1) Vor Gericht hat jedermann Anspruch auf rechtliches Gehör.
",62
2064,"(2) Eine Tat kann nur bestraft werden, wenn die Strafbarkeit gesetzlich bestimmt war, bevor die Tat begangen
",109
2065,"wurde.
",7
2066,"(3) Niemand darf wegen derselben Tat auf Grund der allgemeinen Strafgesetze mehrmals bestraft werden.
",102
2067,"Art 104 
",9
2068,"
",1
2069," 
",2
2070,"
",1
2071,"(1) Die Freiheit der Person kann nur auf Grund eines förmlichen Gesetzes und nur unter Beachtung der darin
",107
2072,"vorgeschriebenen Formen beschränkt werden. Festgehaltene Personen dürfen weder seelisch noch körperlich
",104
2073,"mißhandelt werden.
",19
2074,"(2) Über die Zulässigkeit und Fortdauer einer Freiheitsentziehung hat nur der Richter zu entscheiden. Bei jeder
",112
2075,"nicht auf richterlicher Anordnung beruhenden Freiheitsentziehung ist unverzüglich eine richterliche Entscheidung
",113
2076,"herbeizuführen. Die Polizei darf aus eigener Machtvollkommenheit niemanden länger als bis zum Ende des Tages
",109
2077,"nach dem Ergreifen in eigenem Gewahrsam halten. Das Nähere ist gesetzlich zu regeln.
",85
2078,"(3) Jeder wegen des Verdachtes einer strafbaren Handlung vorläufig Festgenommene ist spätestens am Tage
",104
2079,"nach der Festnahme dem Richter vorzuführen, der ihm die Gründe der Festnahme mitzuteilen, ihn zu vernehmen
",107
2080,"und ihm Gelegenheit zu Einwendungen zu geben hat. Der Richter hat unverzüglich entweder einen mit Gründen
",106
2081,"versehenen schriftlichen Haftbefehl zu erlassen oder die Freilassung anzuordnen.
",81
2082,"(4) Von jeder richterlichen Entscheidung über die Anordnung oder Fortdauer einer Freiheitsentziehung ist
",105
2083,"unverzüglich ein Angehöriger des Festgehaltenen oder eine Person seines Vertrauens zu benachrichtigen.
",103
2084,"
",1
2085,"X.
",3
2086,"Das Finanzwesen
",16
2087,"Art 104a 
",10
2088,"
",1
2089," 
",2
2090,"
",1
2091,"(1) Der Bund und die Länder tragen gesondert die Ausgaben, die sich aus der Wahrnehmung ihrer Aufgaben
",103
2092,"ergeben, soweit dieses Grundgesetz nichts anderes bestimmt.
",60
2093,"(2) Handeln die Länder im Auftrage des Bundes, trägt der Bund die sich daraus ergebenden Ausgaben.
",99
2094,"
",1
2095,"- Seite 30 von 50 -
",20
2096,"
",1
2097,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
2098,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
2099,"
",1
2100,"(3) Bundesgesetze, die Geldleistungen gewähren und von den Ländern ausgeführt werden, können bestimmen,
",104
2101,"daß die Geldleistungen ganz oder zum Teil vom Bund getragen werden. Bestimmt das Gesetz, daß der Bund die
",106
2102,"Hälfte der Ausgaben oder mehr trägt, wird es im Auftrage des Bundes durchgeführt.
",82
